"id","book_id","author_name","created_at","updated_at"
1,"33","George Orwell, Erich Fromm, Celâl Üster","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
2,"34","George Orwell","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
3,"35","Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
4,"36","Stieg Larsson, Reg Keeland","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
5,"37","Suzanne Collins","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
6,"38","J.K. Rowling, Mary GrandPré, Rufus Beck","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
7,"39","J.R.R. Tolkien","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
8,"40","Suzanne Collins","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
9,"41","J.K. Rowling, Mary GrandPré","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
10,"42","Alice Sebold","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
11,"43","J.K. Rowling, Mary GrandPré","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
12,"44","J.K. Rowling, Mary GrandPré","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
13,"45","J.K. Rowling, Mary GrandPré","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
14,"46","Dan Brown","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
15,"47","J.K. Rowling, Mary GrandPré","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
16,"48","William Golding","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
17,"49","William Shakespeare, Robert           Jackson","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
18,"50","Gillian Flynn","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
19,"51","Kathryn Stockett","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
20,"52","John Steinbeck","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
21,"53","Arthur Golden","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
22,"54","E.L. James","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
23,"55","Paulo Coelho, Alan R. Clarke","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
24,"56","Lois Lowry","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
25,"57","C.S. Lewis","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
26,"58","Audrey Niffenegger","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
27,"59","George R.R. Martin","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
28,"60","Elizabeth Gilbert","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
29,"61","Rick Riordan","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
30,"62","Louisa May Alcott","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
31,"64","Nicholas Sparks","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
32,"65","Sara Gruen","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
33,"66","Markus Zusak","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
34,"67","Ray Bradbury","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
35,"68","Stephenie Meyer","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
36,"69","Shel Silverstein","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
37,"70","Cassandra Clare","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
38,"71","Stephenie Meyer","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
39,"72","Christopher Paolini","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
40,"73","Douglas Adams","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
41,"74","Aldous Huxley","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
42,"75","Stephenie Meyer","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
43,"76","Stephen King","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
44,"77","Sue Monk Kidd","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
45,"78","Mark Twain, John Seelye, Guy Cardwell","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
46,"79","E.B. White, Garth Williams, Rosemary Wells","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
47,"80","Mark Haddon","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
48,"81","Paula Hawkins","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
49,"82","Philip Pullman","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
50,"83","Emily Brontë, Richard J. Dunn","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
51,"84","Jodi Picoult","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
52,"85","Kurt Vonnegut Jr.","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
53,"86","Margaret Mitchell","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
54,"87","Khaled Hosseini","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
55,"88","Stephen Chbosky","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
56,"89","Veronica Roth","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
57,"90","Orson Scott Card","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
58,"91","Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
59,"92","Stephenie Meyer","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
60,"93","John Green","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
61,"94","Jane Austen, Tony Tanner, Ros Ballaster","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
62,"95","Louis Sachar, Louis Sachar","2024-02-20 15:40:34.506211+08","2024-02-20 15:40:34.506211+08"
