"id","book_id","best_book_id","work_id","books_count","isbn","title","language_code","average_rating","ratings_count","work_ratings_count","work_text_reviews_count","image_url","small_image_url","created_at","updated_at","label","isbn13"
2,"22328","888628","909457",143,"441569595","Neuromancer","eng","3.88","183878","202417","6623","https://images.gr-assets.com/books/1167348726m/22328.jpg","https://images.gr-assets.com/books/1167348726s/22328.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",9,"9.78E+12"
3,"4271","4271","2961843",138,"140285679","About a Boy","en-US","3.79","101999","112161","2794","https://images.gr-assets.com/books/1382004144m/4271.jpg","https://images.gr-assets.com/books/1382004144s/4271.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
4,"51964","51964","50700",64,"765348276","Old Man's War","eng","4.23","97653","109133","6878","https://images.gr-assets.com/books/1487044882m/51964.jpg","https://images.gr-assets.com/books/1487044882s/51964.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",9,"9.78E+12"
5,"816","816","1166797",3,"60512806","Cryptonomicon","eng","4.25","72683","81409","4342","https://images.gr-assets.com/books/1327931476m/816.jpg","https://images.gr-assets.com/books/1327931476s/816.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",9,"9.78E+12"
6,"1661957","1661957","1656772",50,"1416953574","Wake","eng","3.75","69046","72067","5180","https://images.gr-assets.com/books/1361417311m/1661957.jpg","https://images.gr-assets.com/books/1361417311s/1661957.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
7,"16707","16707","2045395",50,"3423124172","Wonder Boys","ger","3.93","24365","29212","1664","https://images.gr-assets.com/books/1380670205m/16707.jpg","https://images.gr-assets.com/books/1380670205s/16707.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
8,"183822","183822","868206",64,"60580674","Sandstorm","eng","3.94","29665","32954","1398","https://images.gr-assets.com/books/1305960920m/183822.jpg","https://images.gr-assets.com/books/1305960920s/183822.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
9,"105973","105973","102154",30,"785117210","House of M","eng","3.97","14960","15636","429","https://images.gr-assets.com/books/1409502209m/105973.jpg","https://images.gr-assets.com/books/1409502209s/105973.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
10,"41865","41865","3212258",226,"316015849","Twilight","en-US","3.57","3866839","3916824","95009","https://images.gr-assets.com/books/1361039443m/41865.jpg","https://images.gr-assets.com/books/1361039443s/41865.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",7,"9.78E+12"
11,"2657","2657","3275794",487,"61120081","To Kill a Mockingbird","eng","4.25","3198671","3340896","72586","https://images.gr-assets.com/books/1361975680m/2657.jpg","https://images.gr-assets.com/books/1361975680s/2657.jpg","2024-02-20 15:14:30.074558+08","2024-02-20 15:14:30.074558+08",5,"9.78E+12"
